epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.7546666666666666,0.6793597085767983,0.001,0.8,0.5704776791584922
2,0.7346666666666667,0.8436140447429379,0.001,0.66,0.9672046676283947
3,0.8133333333333332,0.4802850735841367,0.001,0.7,0.6061767510261331
4,0.8320000000000001,0.492882419684349,0.001,0.74,0.6422218849580592
5,0.7853333333333332,0.572444015044882,0.001,0.74,0.5861372822536062
6,0.8666666666666668,0.39552401956860195,0.001,0.8,0.8594927390686985
7,0.8240000000000001,0.5138563284842351,0.001,0.74,0.5977103674866576
8,0.828,0.5667753959034612,0.001,0.9,0.3667695396976146
9,0.8373333333333333,0.4590506490544467,0.001,0.86,0.5740850329884158
10,0.8573333333333334,0.3599540299187169,0.001,0.8,0.5884641067607432
