epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.6026666666666667,2.363946632395949,0.001,0.64,1.2135017436913427
2,0.6333333333333334,1.3408332098666107,0.001,0.56,1.0738100592568511
3,0.6333333333333334,0.9186041405923124,0.001,0.62,1.0132149228445968
4,0.7226666666666667,0.7973449088426283,0.001,0.68,0.9980765598259653
5,0.704,0.7424545056479781,0.001,0.68,1.0292358324572815
6,0.7573333333333334,0.7207536040744734,0.001,0.68,1.0408070908938662
7,0.7493333333333333,0.7179631114172691,0.001,0.74,0.6454060923979729
8,0.7493333333333332,0.7287222118528762,0.001,0.68,0.8270224666086926
9,0.776,0.7128085877035824,0.001,0.8,0.5763863074810608
10,0.7653333333333334,0.8230196811118201,0.001,0.8,0.5920975005955453
