epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.7026666666666667,2.104287913513441,0.001,0.44,1.5924072702723575
2,0.7920000000000001,1.1609025717093833,0.001,0.62,1.202949864179473
3,0.7560000000000001,1.0870123655266073,0.001,0.74,0.769391296713978
4,0.752,0.8491624999140818,0.001,0.82,0.5381571792938985
5,0.768,0.7014528157320702,0.001,0.76,0.8621403412271347
6,0.8013333333333333,0.5696974590719571,0.001,0.84,1.0207692265302541
7,0.8133333333333332,0.5612485399407076,0.001,0.86,0.4157242334214697
8,0.7973333333333333,0.5550898496917309,0.001,0.76,0.7614003585715885
9,0.8213333333333332,0.451805199095923,0.001,0.8,0.6756177308612625
10,0.8573333333333333,0.4525841653977821,0.001,0.84,0.43197904722653646
